
date, close, rs, rsRatio, rsMom
01-01-2026,22632.8,0.79467434,99.13873,99.833145
02-01-2026,22790.9,0.7912491,98.867004,99.71708
05-01-2026,22743.4,0.78712684,98.60638,99.58088
06-01-2026,23126.8,0.7996183,98.60707,99.46359
07-01-2026,23286.2,0.8115807,98.815475,99.39352
08-01-2026,22962.6,0.8081182,98.960205,99.362206
09-01-2026,22761.0,0.8103547,99.13674,99.3633
12-01-2026,22668.4,0.8092447,99.28702,99.38694
13-01-2026,22562.3,0.8082472,99.41505,99.44651
14-01-2026,22505.4,0.8118304,99.590096,99.54239
16-01-2026,22217.1,0.80507827,99.64599,99.67162
19-01-2026,22136.2,0.8010958,99.649124,99.820885
20-01-2026,21714.3,0.80578226,99.73189,99.996956
21-01-2026,21584.4,0.80325407,99.76541,100.15399
22-01-2026,21928.0,0.8088469,99.87015,100.275764
23-01-2026,21722.2,0.8103907,99.96396,100.37424
27-01-2026,21788.4,0.8205318,100.17331,100.46375
28-01-2026,21739.8,0.8130798,100.21581,100.52665
29-01-2026,21564.0,0.81203824,100.2349,100.56638
30-01-2026,21715.1,0.8117703,100.2427,100.57824
01-02-2026,21535.3,0.82224995,100.40824,100.603134
02-02-2026,21549.6,0.8056166,100.28167,100.60735
03-02-2026,22200.2,0.8072711,100.200455,100.58901
04-02-2026,22125.8,0.7951656,99.95018,100.53517
05-02-2026,22119.9,0.7995771,99.81246,100.456116
06-02-2026,21961.3,0.798024,99.67109,100.35624
09-02-2026,22290.7,0.8020718,99.61964,100.23505
10-02-2026,22210.5,0.78835565,99.366264,100.090675
11-02-2026,22434.2,0.78609747,99.13588,99.932396
12-02-2026,22386.3,0.78537124,98.95322,99.76989
13-02-2026,22194.9,0.78609705,98.84687,99.59324
16-02-2026,22403.2,0.79930925,98.98927,99.47564
17-02-2026,22494.9,0.79841065,99.11404,99.400986
18-02-2026,22541.9,0.79575753,99.1972,99.38041
19-02-2026,22429.1,0.80872214,99.50066,99.421364
20-02-2026,22452.4,0.80628294,99.72289,99.50545
23-02-2026,22578.6,0.8041671,99.88433,99.60682
24-02-2026,22632.1,0.80973524,100.09985,99.757675
25-02-2026,23051.8,0.809787,100.27553,99.94327
26-02-2026,23301.7,0.81209266,100.44949,100.15244
27-02-2026,22952.3,0.8151022,100.63485,100.3733
02-03-2026,22956.7,0.8335736,101.048836,100.60094
04-03-2026,22672.2,0.84386164,101.50877,100.842964
05-03-2026,23005.5,0.84063536,101.78617,101.07856
06-03-2026,22970.2,0.8483476,102.07846,101.28018
09-03-2026,22933.8,0.88322765,102.80563,101.52167
10-03-2026,23253.7,0.86862826,103.1067,101.748924
11-03-2026,23348.1,0.900567,103.762856,102.00365
12-03-2026,23275.2,0.9273727,104.62035,102.31421
13-03-2026,22832.2,0.9436704,105.45342,102.66985
16-03-2026,22547.2,0.91658634,105.593575,102.97086
17-03-2026,22597.6,0.89968985,105.33419,103.1402
18-03-2026,22632.6,0.8841273,104.77559,103.15061
19-03-2026,22101.7,0.9017458,104.470184,103.082115
20-03-2026,22540.7,0.91199183,104.256355,102.95564
23-03-2026,22053.1,0.9213822,104.118,102.73176
24-03-2026,22239.8,0.9071842,103.70666,102.445114
25-03-2026,22679.8,0.90507054,103.24868,102.053024
27-03-2026,22565.6,0.92664635,103.09855,101.58534
30-03-2026,22232.2,0.93532073,103.04362,101.069275
01-04-2026,22011.6,0.9081142,102.54109,100.54127
02-04-2026,21808.4,0.90529984,102.06253,100.05496
06-04-2026,21835.3,0.8967122,101.55615,99.63795
07-04-2026,21868.7,0.8972399,101.17849,99.266106
