Date,NIFTY 50,NIFTY AUTO,NIFTY MEDIA,NIFTY METALS,NIFTY IT,NIFTY RURAL
30_03_2026_13_40,22462.1,23948.8,1281.15,11212.1,29157.4,
30_03_2026_13_45,22448,23913.2,1279.25,11212.5,29133.8,
30_03_2026_13_50,22422.1,23891.7,1275.25,11189.5,29018.9,
30_03_2026_13_55,22428.8,23903.1,1271.8,11191.8,29033.6,
30_03_2026_14_00,22462.3,23954.8,1276.15,11234.5,29093.8,
30_03_2026_14_05,22449.4,23932.2,1274.05,11213.1,29066.1,
30_03_2026_14_10,22420.5,23900.8,1273.2,11197,29000.1,
30_03_2026_14_15,22411.6,23907.1,1272.35,11177.6,29006.5,
30_03_2026_14_20,22388,23887.6,1269.05,11170.5,28997.4,
30_03_2026_14_25,22378.1,23887.6,1267.5,11164.4,28975.3,
30_03_2026_14_30,22362.5,23829.7,1269.55,11141.3,28981.1,
30_03_2026_14_35,22362.9,23845.7,1265.7,11144.1,29027.7,
30_03_2026_14_40,22366.8,23839,1263.25,11140.2,29053.3,
30_03_2026_14_45,22362,23854.1,1263.5,11140.1,29037.6,
30_03_2026_14_50,22348.5,23801.7,1261.55,11121.8,29039.9,
30_03_2026_14_55,22349.9,23784.7,1263.3,11133.2,29049.3,
30_03_2026_15_00,22291.2,23712.3,1258.9,11125.5,28982.2,
30_03_2026_15_05,22299.4,23728.3,1262.9,11125.9,29032.1,
30_03_2026_15_10,22335.6,23796.2,1264.05,11135,29074.6,
30_03_2026_15_15,22341.8,23777.9,1263.75,11138.2,29080.5,
30_03_2026_15_20,22377.4,23812.9,1260.7,11140.2,29082.2,
30_03_2026_15_25,22379.2,23779.2,1257.8,11148.6,29129.4,
01_04_2026_09_15,22887,24507.2,1300.85,11463.2,29754.8,
01_04_2026_09_20,22899.6,24514.2,1306.5,11495.8,29848.6,
01_04_2026_09_25,22929.8,24624.1,1309.1,11511.4,29913,
01_04_2026_09_30,22854.5,24514,1304.2,11499.5,29874.2,
01_04_2026_09_35,22828.1,24470.7,1300.55,11471.2,29846.3,
01_04_2026_09_40,22854.9,24496.8,1302.25,11488.2,29946.3,
01_04_2026_09_45,22897.6,24561.6,1305.65,11542,30015.5,
01_04_2026_09_50,22915.2,24591.2,1309.65,11545.8,30155.4,
01_04_2026_09_55,22893.2,24539.1,1308.4,11539.1,30120.9,
01_04_2026_10_00,22927.2,24567.8,1313.05,11563,30210.8,
01_04_2026_10_05,22906.8,24555.1,1310.25,11563.2,30206.2,
01_04_2026_10_10,22868.8,24478.3,1310.7,11537.3,30155.3,
01_04_2026_10_15,22871.2,24500.3,1309.6,11549.5,30165.2,
01_04_2026_10_20,22828.3,24444.7,1305.85,11520.8,30147.3,
01_04_2026_10_25,22796.5,24386,1302.5,11509.8,30134.7,
01_04_2026_10_30,22796,24425.9,1303.4,11544.2,30089.9,
01_04_2026_10_35,22813.8,24452.1,1302.9,11564,30144.6,
