Transcode,TimeStamp,MsgLen,IdxToken,OpenVal,CurrVal,HighVal,LowVal,PerChange,IntHighVal,IntLowVal,IntOpenVal,IntCloseVal,IndicativeCloseValue
8,1777542239,52,110,1487925,1474260,1487925,1459720,-134,1474300,1473745,1474170,1474260,1475265
8,1777542239,52,138,1459250,1449815,1460350,1438440,-94,1449815,1449040,1449340,1449815,1450220
8,1777542239,52,37,557150,555275,558075,550220,-51,555395,555240,555395,555275,0
8,1777542239,52,119,785805,779075,785870,773275,-96,779310,778865,779310,779075,779680
8,1777542239,52,58,3017875,3012895,3029425,2983040,-93,3013385,3012145,3013385,3012895,0
8,1777542239,52,124,1953615,1938485,1953720,1928155,-97,1938975,1938245,1938885,1938485,0
8,1777542239,52,137,323375,320600,323465,318560,-125,320700,320570,320680,320600,320820
8,1777542239,52,103,1774575,1762570,1775485,1749730,-147,1762730,1762320,1762730,1762570,0
8,1777542239,52,57,2572830,2569355,2577835,2546515,-68,2569355,2568570,2569260,2569355,0
8,1777542239,52,70,2338055,2323575,2338685,2310155,-86,2324265,2323165,2324265,2323575,0
8,1777542239,52,31,1094230,1094460,1098425,1080930,-44,1094635,1094180,1094635,1094460,1094835
8,1777542239,52,100,1633325,1630145,1636485,1616320,-51,1630340,1629870,1630340,1630145,0
8,1777542239,52,60,1480875,1491315,1499065,1478740,-19,1491315,1490470,1491260,1491315,1492610
8,1777542239,52,108,1673760,1654960,1673765,1649325,-141,1654970,1654605,1654675,1654960,0
8,1777542239,52,64,1624055,1616730,1624780,1605670,-99,1616750,1616330,1616750,1616730,1618190
8,1777542239,52,122,1768480,1761165,1768905,1747935,-82,1761200,1760755,1761200,1761165,1762595
8,1777542239,52,77,4485705,4495545,4526350,4465035,-16,4496405,4494240,4496405,4495545,4500645
8,1777542239,52,4,5488065,5477835,5511160,5444025,-113,5478560,5476570,5477470,5477835,5485100
8,1777542239,52,59,400405,400160,402015,396665,-90,400165,400050,400120,400160,0
8,1777542239,52,136,1889800,1899410,1910650,1886410,-25,1899460,1898585,1899460,1899410,1901230
8,1777542239,52,27,2571760,2561735,2576740,2549145,-114,2562010,2560990,2561580,2561735,2565110
8,1777542239,52,123,684535,681510,684880,677145,-70,681590,681345,681590,681510,682090
8,1777542239,52,97,3807890,3794590,3810245,3751180,-113,3794615,3793000,3793220,3794590,0
8,1777542239,52,12,4088335,4075295,4089890,4038545,-51,4075335,4074500,4075245,4075295,4076245
8,1777542239,52,69,484305,482925,485135,479270,-97,482930,482830,482930,482925,0
8,1777542239,52,32,1809560,1807250,1823230,1779170,-163,1807250,1805705,1806060,1807250,0
8,1777542239,52,9,80290,79285,80415,78595,-158,79290,79260,79290,79285,79405
8,1777542239,52,28,553,553,553,553,0,553,553,553,553,0
8,1777542239,52,71,1560725,1553975,1561520,1539045,-87,1553980,1553605,1553980,1553975,0
8,1777542239,52,135,1198665,1193830,1199030,1181225,-94,1193835,1193315,1193615,1193830,1193920
8,1777542239,52,40,296658,295755,296660,295251,-28,295798,295755,295798,295755,0
8,1777542239,52,18,3019775,3021510,3037445,3003525,-84,3021590,3020490,3020975,3021510,3023850
8,1777542239,52,52,882215,877965,883370,869590,-60,878055,877745,878055,877965,878970
8,1777542239,52,130,153485,153150,153785,151935,-84,153155,153105,153135,153150,153245
8,1777542239,52,43,324343,323586,324345,323306,-21,323586,323586,323586,323586,0
8,1777542239,52,14,3210435,3186255,3211370,3162275,-98,3187715,3185885,3187715,3186255,3189170
8,1777542239,52,65,1386505,1381380,1388535,1368860,-85,1381680,1381060,1381680,1381380,1382785
